900,掠
901,採
902,接
903,控
904,推
905,掩
906,措
907,掫
908,掲
909,掴
910,掵
911,掾
912,揀
913,揃
914,揄
915,揆
916,揉
917,描
918,提
919,揚
920,換
921,握
922,揩
923,揮
924,援
925,揶
926,揺
927,搆
928,損
929,搓
930,搗
931,搜
932,搦
933,搬
934,搭
935,搶
936,携
937,搾
938,摑
939,摧
940,摶
941,摸
942,摺
943,撈
944,撒
945,撓
946,撕
947,撚
948,撞
949,撥
950,撫
951,播
952,撮
953,撰
954,撲
955,撹
956,撻
957,撼
958,擁
959,擂
960,擅
961,擒
962,擠
963,擡
964,擣
965,擦
966,擬
967,擯
968,擱
969,擲
970,擴
971,擶
972,擺
973,擽
974,擾
975,攅
976,攘
977,攝
978,攤
979,攪
980,攫
981,攬
982,改
983,攻
984,放
985,政
986,故
987,效
988,敍
989,敏
990,救
991,敕
992,敗
993,敘
994,教
995,敞
996,敦
997,敬
998,敲
999,敷
1000,數
1001,斂
1002,斌
1003,料
1004,斛
1005,斜
1006,斟
1007,斫
1008,斬
1009,斯
1010,旙
1011,既
1012,旧
1013,旺
1014,明
1015,映
1016,昧
1017,昨
1018,昭
1019,昵
1020,昶
1021,昿
1022,時
1023,晄
1024,晒
1025,晞
1026,晤
1027,晦
1028,晧
1029,晩
1030,晰
1031,晴
1032,暁
1033,暄
1034,暉
1035,暎
1036,暖
1037,暗
1038,暘
1039,暝
1040,暢
1041,暾
1042,曄
1043,曉
1044,曖
1045,曙
1046,曚
1047,曝
1048,曠
1049,曦
1050,朋
1051,朏
1052,朖
1053,朗
1054,朞
1055,期
1056,朦
1057,朧
1058,札
1059,朴
1060,朷
1061,朸
1062,机
1063,朽
1064,杁
1065,杆
1066,杉
1067,材
1068,村
1069,杓
1070,杖
1071,杙
1072,杜
1073,杞
1074,杠
1075,杣
1076,杤
1077,杪
1078,杭
1079,杯
1080,杵
1081,杷
1082,杼
1083,松
1084,板
1085,枅
1086,枇
1087,枉
1088,枋
1089,枌
1090,析
1091,林
1092,枚
1093,枝
1094,枠
1095,枡
1096,枢
1097,枦
1098,枯
1099,枳
1100,枷
1101,枸
1102,枹
1103,柁
1104,柄
1105,柆
1106,柊
1107,柎
1108,柑
1109,柘
1110,柚
1111,柝
1112,柞
1113,柤
1114,柧
1115,柮
1116,柯
1117,柱
1118,柳
1119,柵
1120,柾
1121,柿
1122,栂
1123,栓
1124,栖
1125,校
1126,栢
1127,栩
1128,株
1129,栫
1130,栲
1131,核
1132,根
1133,格
1134,桁
1135,桂
1136,桃
1137,框
1138,桍
1139,桎
1140,桐
1141,桓
1142,桔
1143,桙
1144,桝
1145,桟
1146,档
1147,桧
1148,桴
1149,桶
1150,桷
1151,桾
1152,桿
1153,梃
1154,梅
1155,梍
1156,梏
1157,梓
1158,梔
1159,梗
1160,梛
1161,梠
1162,梢
1163,梧
1164,梯
1165,械
1166,梱
1167,梳
1168,梶
1169,梹
1170,梼
1171,棆
1172,棉
1173,棋
1174,棍
1175,棒
1176,棔
1177,棕
1178,棘
1179,棚
1180,棟
1181,棡
1182,棣
1183,棧
1184,棯
1185,棲
1186,棹
1187,棺
1188,椀
1189,椁
1190,椄
1191,椅
1192,椋
1193,椌
1194,植
1195,椎
1196,椏
1197,椒
1198,椙
1199,椚
1200,椛
1201,検
1202,椡
1203,椢
1204,椣
1205,椥
1206,椦
1207,椨
1208,椪
1209,椰
1210,椴
1211,椹
1212,椽
1213,椿
1214,楊
1215,楓
1216,楔
1217,楜
1218,楝
1219,楠
1220,楡
1221,楢
1222,楮
1223,楯
1224,楳
1225,楴
1226,極
1227,楷
1228,楸
1229,楹
1230,楼
1231,楾
1232,榁
1233,概
1234,榊
1235,榎
1236,榔
1237,榕
1238,榛
1239,榜
1240,榠
1241,榧
1242,榱
1243,榴
1244,榾
1245,榿
1246,槁
1247,槇
1248,槊
1249,構
1250,槌
1251,槍
1252,槎
1253,槐
1254,槓
1255,槙
1256,槝
1257,槞
1258,槨
1259,槫
1260,槭
1261,槲
1262,槹
1263,槻
1264,槽
1265,樅
1266,樋
1267,樌
1268,樒
1269,樓
1270,樔
1271,標
1272,樞
1273,樟
1274,模
1275,樢
1276,横
1277,樫
1278,樵
1279,樶
1280,樺
1281,樽
1282,橄
1283,橇
1284,橈
1285,橋
1286,橙
1287,機
1288,橡
1289,橢
1290,橦
1291,橲
1292,橸
1293,檀
1294,檍
1295,檎
1296,檜
1297,檢
1298,檣
1299,檪
1300,檬
1301,檮
1302,檳
1303,檸
1304,檻
1305,櫁
1306,櫃
1307,櫓
1308,櫚
1309,櫛
1310,櫞
1311,櫟
1312,櫨
1313,櫪
1314,櫻
1315,欄
1316,欅
1317,欖
1318,欟
1319,次
1320,欣
1321,欧
1322,欲
1323,欷
1324,欸
1325,欹
1326,欺
1327,欽
1328,歇
1329,歉
1330,歐
1331,歔
1332,歙
1333,歛
1334,歟
1335,此
1336,殀
1337,殃
1338,殆
1339,殉
1340,殊
1341,残
1342,殍
1343,殖
1344,殘
1345,殞
1346,殪
1347,殫
1348,殯
1349,殱
1350,殴
1351,殻
1352,毆
