53,佚,人 亻（ひと・にんべん・ひとがしら・ひとやね）,亻,122,失,249,イツ.テツ,うしな（う）.たが（いに）.たの（しむ）.のが（れる）.やす（んずる）,たのしむ。あそぶ。やすんずる。気ままにすきなことをする。.のがれる。隠れる。世からのがれる。.うしなう。なくす。忘れる。.うつくしい。または、みだら。なまめかしい。.いれかわる。かわるがわる。たがいに。＝迭,7,2,5,-,10,-
54,佛,人 亻（ひと・にんべん・ひとがしら・ひとやね）,亻,122,弗,168,ブツ.フツ,ほとけ,ほとけ。悟りを開いた者。.仏教（ぶっきょう）。また、仏教徒。.日本国名「佛蘭西（フランス）」の略。,7,2,5,-,11,人名用漢字名前に使える漢字
55,作,人 亻（ひと・にんべん・ひとがしら・ひとやね）,亻,122,乍,464,サ.サク,つく（る）.な（す）,つくる。新たにこしらえる。.書物などを書く。.耕す。耕作（こうさく）する。.なす。おこなう。.なす。成し遂げる。つくり上げる。.立つ。立ち上げる。.ふるまい。うごき。はたらき。.つくられてできたもの。作品（さくひん）。.日本さく。制作（せいさく）したもののできばえ。,7,2,5,小学校２年生,90,教育漢字常用漢字名前に使える漢字
56,佝,人 亻（ひと・にんべん・ひとがしら・ひとやね）,亻,122,句,618,ク.コウ,おろ（か）.ま（がる）,おろか。暗い。.背が曲がっていること。またはそのような人。,7,2,5,-,10,-
57,佞,人 亻（ひと・にんべん・ひとがしら・ひとやね）女（おんな・おんなへん）,仁,190,仁,622,デイ.ネイ,おもね（る）.へつら（う）.よこしま,おもねる。へつらう。うまいことをいって相手に取り入る。.よこしま。口先だけで内心は陰険である。.口が達者。物言いが巧み。,7,2,5,3,4,-,10,-
58,佯,人 亻（ひと・にんべん・ひとがしら・ひとやね）,亻,122,羊,163,ヨウ,いつわ（る）.さまよ（う）,いつわる。ふりをする。みせかける。だます。.さまよう。,8,2,6,-,10,-
59,佰,人 亻（ひと・にんべん・ひとがしら・ひとやね）,亻,122,百,699,ハク.ヒャク,おさ,おさ。かしら。百人の長。または、百人で一組の隊のこと。.東西に通る小道、あぜ道。＝陌.契約書や証書などの文書で数字を表すとき、書き換えを防ぐために「百」の代わりに用いる文字。大字。,8,2,6,-,10,-
60,佳,人 亻（ひと・にんべん・ひとがしら・ひとやね）,亻,122,圭,43,カ,よ（い）,よい。美しい。立派。すぐれている。すばらしい。,8,2,6,-,30,常用漢字名前に使える漢字
61,併,人 亻（ひと・にんべん・ひとがしら・ひとやね）,亻,122,并,134,ヘイ,あわ（せる）.しか（し）.なら（ぶ）,あわせる。一つにする。一緒にする。.ならぶ。ならべる。つらなる。.きそう。せりあう。.日本しかし。しかしながら。けれども。,8,2,6,-,25,常用漢字名前に使える漢字
62,佶,人 亻（ひと・にんべん・ひとがしら・ひとやね）,亻,122,吉,531,キツ,-,すこやか。丈夫。強い。.正しい。,8,2,6,-,10,-
63,佻,人 亻（ひと・にんべん・ひとがしら・ひとやね）,亻,122,兆,145,チョウ,かる（い）.かるがる（しい）,かるい。かるがるしい。軽薄。.ぬすむ。こっそりとぬすむ。,8,2,6,-,10,-
64,佼,人 亻（ひと・にんべん・ひとがしら・ひとやね）,亻,122,交,314,コウ,うつく（しい）,うつくしい。みめよい。顔立ちがよい。.悪がしこい。＝狡.まじわる。交際する。＝交,8,2,6,-,15,-
65,使,人 亻（ひと・にんべん・ひとがしら・ひとやね）,亻,122,吏,444,シ,つか（う）.つか（わす）,つかう。もちいる。働かせる。.しむ。せしむ。「使ＡＢ」の形で、「ＡをしてＢせしむ」と読み、「ＡにＢをさせる」の意。.しめば。仮定の意。「使ＡＢ～」の形で、「ＡをしてＢせしめば」と読み、「もしＡＢすれば（させれば）」と順接の仮定条件の意を表す。.つかい。つかいの者。例：使者（ししゃ）.つかわす。つかいする。,8,2,6,小学校３年生,80,教育漢字常用漢字名前に使える漢字
66,侈,人 亻（ひと・にんべん・ひとがしら・ひとやね）,亻,122,多,367,シ,おお（きい）.おご（る）.ほしいまま,おおきい。広い。.おごる。おごりたかぶる。.ほしいまま。好き勝手。.ぜいたくをする。.度をこす。度をこえる。,8,2,6,-,10,-
67,例,人 亻（ひと・にんべん・ひとがしら・ひとやね）,亻,122,列,837,レイ,たと（える）.たぐい.たと（えば）.ためし,たとえる。たとえ。.たぐい。同じ種類。同類。.ためし。きまり。しきたり。ならわし。.日本たとえば。たとえをあげれば。,8,2,6,小学校４年生,70,教育漢字常用漢字名前に使える漢字
68,侍,人 亻（ひと・にんべん・ひとがしら・ひとやね）,亻,122,寺,75,ジ.シ,さむらい.さぶら（う）.はべ（る）,はべる。さぶらう。身分が高い人に仕える。また、そのような人。.日本さむらい。武士。.日本はべり。はべる。「あり・ある」「居り・居る」の丁寧語。,8,2,6,-,30,常用漢字名前に使える漢字
69,侏,人 亻（ひと・にんべん・ひとがしら・ひとやね）,亻,122,朱,274,シュ,みじか（い）,みじかい。.背が低い。,8,2,6,-,10,-
70,侑,人 亻（ひと・にんべん・ひとがしら・ひとやね）,亻,122,有,365,ウ.ユウ,すす（める）.たす（ける）.むく（いる）.ゆる（す）,すすめる。料理やお酒などをすすめる。.たすける。かばってたすける。＝佑.むくいる。お礼をする。.ゆるす。罪などをゆるす。,8,2,6,-,10,人名用漢字名前に使える漢字
71,侘,人 亻（ひと・にんべん・ひとがしら・ひとやね）,亻,122,宅,414,タ,ほこ（る）.わび.わび（しい）.わ（びる）,ほこる。おごる。自慢する。.日本わび。わびる。つらく思う。さびしく思う。.日本わびしい。まずしいさま。,8,2,6,-,10,-
72,供,人 亻（ひと・にんべん・ひとがしら・ひとやね）,亻,122,共,550,キョウ.ク,そな（える）.とも,そなえる。そなえ。神仏などにものをささげる。.そなえる。そなえ。そなえすすめる。.自ら申し述べる。例：自供（じきょう）.差し出す。支給する。.日本とも。従者。.日本ども。言葉の後ろにつけて複数を表す。,8,2,6,小学校６年生,50,教育漢字常用漢字名前に使える漢字
